Recipient.Organization,deliverychannels
Action Health Incorporated,NGOs and CSOs
Estonian Science Park Tehnopol,Other
CBM International (formerly Christian Blind Mission),NGOs and CSOs
OXFAM | OXFAM GB,NGOs and CSOs
Peace Boat Disaster Relief Volunteer Center,NGOs and CSOs
Polish Humanitarian Team,NGOs and CSOs
African Entrepreneur Collective,NGOs and CSOs
Indego Africa,NGOs and CSOs
Society for Human Rights and Prisoner's Aid,NGOs and CSOs
Abt Associates,NGOs and CSOs
Antigua and Barbuda Red Cross Society,RCRC
Bearing Point,Other
Bechtel,Other
SSA Marine,Other
SkyLink,Other
CAII - Creative Associates International,Other
MSI,Other
Radio SAWA,Other
Saint Kitts and Nevis Red Cross Society,RCRC
ADA,Public Sector
Bangladesh Red Crescent Society,RCRC
NGOs,NGOs and CSOs
Action Contre la Faim | ACF - France,NGOs and CSOs
United Nations Voluntary Trust Fund for Victims of Trafficking in Persons,UN Multi
Arakan Rohingya Union,NGOs and CSOs
ARCS ARCI Cultura e Sviluppo,NGOs and CSOs
Upper Nile Youth Mobilization for Peace and Development Agency,NGOs and CSOs
Al-Baida Coalition for Relief and Humanitarian Actions,NGOs and CSOs
Iraqi Handicapped Society,NGOs and CSOs
Sadad Humanitarian Organization,NGOs and CSOs
Antigua and Barbuda,Public Sector
Plan Niger | Plan Ireland,NGOs and CSOs
Integrated Rural Development and Nature Conservation,NGOs and CSOs
Network Partnership for Development and Justice E. V,NGOs and CSOs
Salute e Sviluppo ONG,NGOs and CSOs
Saint Kitts and Nevis,Public Sector
Belize,Public Sector
World Vision Ireland | World Vision International,NGOs and CSOs
Building foundation for Development,NGOs and CSOs
Al-Ameen for Humanitarian Support,NGOs and CSOs
"Hand in Hand Appeal, Syria",NGOs and CSOs
CHS Alliance,NGOs and CSOs
Ground Truth Solutions,NGOs and CSOs
HERE-Geneva,NGOs and CSOs
World Vision Central African Republic,NGOs and CSOs
Agility,Other
Pentecostal Foreign Mission,NGOs and CSOs
Jemael-international,Other
Mobile Theatre Team,NGOs and CSOs
Grassroots Relief and Development Agency,NGOs and CSOs
Verein Hilfe fur Bangladesch,NGOs and CSOs
Healthlink South Sudan,NGOs and CSOs
Plan International | Plan Sweden,NGOs and CSOs
Rural Organization for Advocacy and Development International,NGOs and CSOs
Cavalier Logistics,Other
Agriterra,Other
AFAK Future for Capacity Building,NGOs and CSOs
JORDAN RIVER FOUNDATION,NGOs and CSOs
Jordan Women Union-Un Ponte Per,NGOs and CSOs
Union of Relief and Development Association,NGOs and CSOs
ASSOCIATION DES JEUNES ISLAMIQUES,NGOs and CSOs
Association Nabad for Development,NGOs and CSOs
Action for Population and Sustainable Development,NGOs and CSOs
Caritas Bangladesh,NGOs and CSOs
Enfants sans FrontiËres,NGOs and CSOs
Community Action Organization,NGOs and CSOs
LiveWell South Sudan,NGOs and CSOs
Community Health and Development Organization,NGOs and CSOs
National Relief and Development Corps,NGOs and CSOs
Community Initiative for Development Organization,NGOs and CSOs
Humanitarian Aid for Change and Transformation,NGOs and CSOs
The Rescue Initiative South Sudan,NGOs and CSOs
American Rescue Committee,NGOs and CSOs
Bent Al-Rafedain Organization,NGOs and CSOs
Bothoor Alkhaer Human Organization,NGOs and CSOs
Emergency Medical Care for Affected People,NGOs and CSOs
Canadian Aid Organization for International Society Rehab,NGOs and CSOs
The Critical Needs Support Foundation,NGOs and CSOs
Dary Human Organization for Relief and Medical Care,NGOs and CSOs
World Concern,NGOs and CSOs
Health & Social Care Organization in Iraq,NGOs and CSOs
Human for Human Organization,NGOs and CSOs
Orchard Association for Children Protection and Education,NGOs and CSOs
Rebuild Iraq Recruitment Program | Qatar Red Crescent Society,RCRC
Empowering Vulnerable Society Organization,NGOs and CSOs
Sahara Economic Development Organization,NGOs and CSOs
Stichting Cordaid,NGOs and CSOs
Sabe' Sanabal Organization for Relief and Development,NGOs and CSOs
General Service Agency,NGOs and CSOs
Women Pioneers for Peace and Life,NGOs and CSOs
WRO,NGOs and CSOs
Terre des Hommes - Italy | World Vision International,NGOs and CSOs
Taakulo Somaliland Community,NGOs and CSOs
Health Education Agro-pastoral Liaison,NGOs and CSOs
Bena Charity For Human Development,NGOs and CSOs
Al-Aman Organization for Blind Women Care,NGOs and CSOs
Field Medical Foundation,NGOs and CSOs
Sustainable Development Foundation,NGOs and CSOs
Youth Leadership Development Foundation,NGOs and CSOs
Rural Women's Development Society,NGOs and CSOs
Responsiveness for Relief and Development,NGOs and CSOs
Windle Trust International,NGOs and CSOs
Tamdeen Youth Foundation,NGOs and CSOs
Integrated Youth and Relief Development Association,NGOs and CSOs
Active Youth Agency,NGOs and CSOs
Pathfinder International,NGOs and CSOs
"Candlelight for Health, Education and Environment",NGOs and CSOs
Leb Relief,NGOs and CSOs
Livelihood Relief and Development Organization,NGOs and CSOs
Mothers and Children Multisectoral Development Organization (MCMDO),NGOs and CSOs
The Disabled and their Friends Charity Association (DTF),NGOs and CSOs
Philippine Disaster Resilience Foundation,NGOs and CSOs
Communicating with Disaster Affected Communities,NGOs and CSOs
George Washington University,NGOs and CSOs
Grand Challenges Canada,NGOs and CSOs
Center for Strategic and International Studies,NGOs and CSOs
NRS Relief,Other
Priority Worldwide Services,Other
La FederaciÛn Nacional de Comerciantes,Other
Miyamoto International,Other
Ledmark Industries LLC,Other
JAS Forwarding Worldwide Inc.,Other
Lynden Air Cargo,Other
Butyl Products Ltd Group,Other
SGS,Other
Centre for Community Health and Development International,NGOs and CSOs
Street Child Organization,NGOs and CSOs
Kanem Borno Human Development Association,NGOs and CSOs
Restoration of Hope Initiative,NGOs and CSOs
Women in the New Nigeria and Youth Empowerment Initiative,NGOs and CSOs
Consejo Superior Universitario Centroamericano,NGOs and CSOs
"International Business & Technical Consultants, Inc.",NGOs and CSOs
Johns Hopkins University,NGOs and CSOs
Landstar Express America,Other
"John S Connor, Inc",Other
AsociaciÛn de Trabajadores y TÈcnicos Sin Fronteras,NGOs and CSOs
OXFAM GB | OXFAM,NGOs and CSOs
Alianza por la Solidaridad,NGOs and CSOs
International Training Inc.,Other
Winrock International,NGOs and CSOs
Purdue University,NGOs and CSOs
Bill and Melinda Gates Foundation,NGOs and CSOs
Associazione di Cooperazione allo Sviluppo,NGOs and CSOs
Center for Civilians in Conflict,NGOs and CSOs
The Legal Agenda,NGOs and CSOs
Alliance For Action Aid,NGOs and CSOs
Grupo Sofonias (Switzerland),Other
Hope and Rural Aid Foundation,NGOs and CSOs
Ronahee Foundation,NGOs and CSOs
Shabelle Relief and Development Organization - SRDO,NGOs and CSOs
World Vision Uganda,NGOs and CSOs
Miak Wadang,NGOs and CSOs
ACT Alliance / Christian Care,NGOs and CSOs
Nurture Africa,NGOs and CSOs
Fondazione ‚ÄúOpera San Francesco Saverio‚Äù CUAMM,NGOs and CSOs
AYUUB Organization,NGOs and CSOs
The Cash Learning Partnership,NGOs and CSOs
National Prisoner Foundation,NGOs and CSOs
For All Foundation,NGOs and CSOs
Medical Mercy Foundation,NGOs and CSOs
Association for Community Development,NGOs and CSOs
CARITAS BUKAVU,NGOs and CSOs
Ceilu,NGOs and CSOs
Caritas DÈveloppement DRC,NGOs and CSOs
Haitian National Red Cross Society,RCRC
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Other multi
Touch Africa Development Organization,NGOs and CSOs
Assistance Mission Africa,NGOs and CSOs
Himilo Organization for Development,NGOs and CSOs
Centre for Common Ground in Angola (CCG),NGOs and CSOs
AIR CHARTER SERVICE,Other
Intertek Group plc,Other
Stanis≈Çawa Bie≈Ñczak Child Support Foundation (Fundacja Pomocy Dzieciom im. Stanis≈Çawy Bie≈Ñczak),NGOs and CSOs
AlBasar Foundation,NGOs and CSOs
Nahrain International Company,Other
Scoop Group,Other
FOSENET - NGO Food Security Network - Zimbabwe,NGOs and CSOs
Mongolia,Public Sector
Mvuramanzi Trust,NGOs and CSOs
Terre des Hommes International | Terre des Hommes - Italy,NGOs and CSOs
Limmatstiftung Zurich,NGOs and CSOs
Solid House Foundation,NGOs and CSOs
Polish Medical Mission,NGOs and CSOs
Enfants de Cusco,NGOs and CSOs
Kob¸,Other
GIGnos (consulting company),Other
MANNET (consulting company),Other
Messagers de la Paix en Afrique,NGOs and CSOs
SolidaritÈ Socialiste,NGOs and CSOs
Medicair - South Sudan,NGOs and CSOs
Association for Solidarity with Asylum Seekers and Migrants,NGOs and CSOs
ACT Alliance / Diakonie,NGOs and CSOs
Mercy Without Limits,NGOs and CSOs
Nile Sustainable Development Organization,NGOs and CSOs
Catholic Medical Missons Board,NGOs and CSOs
Andre Foods South Sudan,NGOs and CSOs
Organization for Peoples' Empowerment and Needs,NGOs and CSOs
Community Organization for Emergency and Rehabilitation,NGOs and CSOs
Titi Foundation,NGOs and CSOs
Takaful Alsham Charity Organization,NGOs and CSOs
MEMISA - Action mÈdicale missionnaire,NGOs and CSOs
"Zaporizhzhia Region Charity Fund ""Child Smile""",NGOs and CSOs
BINAA Organization for Development,NGOs and CSOs
International Trade Center,Other multi
Gaza Zakat Committee,Public Sector
Humanitarian and Development Consortium,NGOs and CSOs
ROIA Information and Communication Technology,NGOs and CSOs
Johanniter International Assistance,NGOs and CSOs
Fonds voor OntwikkelingsSamenwerking,NGOs and CSOs
Amis des Personnes en DÈtresse,NGOs and CSOs
Vijana ya Panda Tujenge,Other
Entrepreneurs Organization for Relief and Development,NGOs and CSOs
Custodian of Two Holy Mosques Relief Campaign,NGOs and CSOs
Janat Al-Frdaws Foundation for Relief and Development,NGOs and CSOs
Humane Aid for Community Organization,NGOs and CSOs
ONG Espoir,NGOs and CSOs
Women of Africa,NGOs and CSOs
CARITAS BUTEMBO,NGOs and CSOs
CARITAS DEV GOMA,NGOs and CSOs
CARITAS UVIRA,NGOs and CSOs
SantÈ Rurale,NGOs and CSOs
Human Appeal UK,NGOs and CSOs
Public Aid Organization,NGOs and CSOs
INSAN Iraqi Society for Relief and Development,NGOs and CSOs
Pestalozzi Children's Foundation,NGOs and CSOs
EPER - Swiss Church Aid,NGOs and CSOs
Dynasafe International Group,Other
Dominican Republic,Public Sector
International Humanitarian City,Other
Action Against Disasters Somalia,NGOs and CSOs
New Ways Organization,NGOs and CSOs
Fondation Internationale Carrefour,NGOs and CSOs
Uganda Women's Effort to Save Orphans,NGOs and CSOs
ACT Alliance / Christian World Service,NGOs and CSOs
Inter Aide,NGOs and CSOs
Malawi Economic Justice Network,Other
Public Affairs Committee,NGOs and CSOs
Mwelekeo Trust,NGOs and CSOs
"NABA""A",Other
Rural Education and Agriculture Development Organization,NGOs and CSOs
Datong,Other
Ecuadorian Red Cross,RCRC
Somali Humanitarian and Development Action,NGOs and CSOs
Hudec Sedec,NGOs and CSOs
HÙpital FranÁais de HanoÔ,NGOs and CSOs
Inter Religious Council,NGOs and CSOs
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs and CSOs
ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,NGOs and CSOs
Survey Action Center,Other
International Blue Crescent Relief and Development Foundation,NGOs and CSOs
Somalia,Public Sector
Aide MÈdicale  Internationale (until 2010),NGOs and CSOs
CARE Ethiopia,NGOs and CSOs
Watan Khayr Charity Foundation,NGOs and CSOs
Gr¸nhelme,NGOs and CSOs
Caritas Sweden,NGOs and CSOs
Bonyan (Bina Insan),NGOs and CSOs
FXB -  FranÁois-Xavier Bagnoud,NGOs and CSOs
International Assistance Mission,NGOs and CSOs
Belgian First Aid and Support Team,Public Sector
African Humanitarian Corps,NGOs and CSOs
UNICEF National Committee/United Kingdom,NGOs and CSOs
Hungarian Red Cross,RCRC
Action ChrÈtienne Tous pour la SolidaritÈ,NGOs and CSOs
Red Crescent Society of the Islamic Republic of Iran,RCRC
Education Above All Foundation,NGOs and CSOs
Polish Red Cross,RCRC
"Congo, Republic of",Public Sector
Ata'a for Relief and Development,NGOs and CSOs
Pompiers sans frontiËres,NGOs and CSOs
Triangle,NGOs and CSOs
Atfaluna Society for Deaf Children,NGOs and CSOs
ACT Alliance / Kerk in Actie - Netherlands,NGOs and CSOs
Ghiras Alnahda Organization,NGOs and CSOs
ASIA Onlus,NGOs and CSOs
ISRAELI INFO.CNTR.HUMAN RIGHTS (B-TSELEM),NGOs and CSOs
Mobile Humanitarian Agency,NGOs and CSOs
Maram Foundation for Relief and Development,NGOs and CSOs
Syrian Expatriates Medical Association,NGOs and CSOs
Cook Islands Red Cross Society,RCRC
Reach Out,NGOs and CSOs
Hydraulique Sans FrontiËres,NGOs and CSOs
Agence de DÈveloppement Economique et Social,NGOs and CSOs
Action pour la Promotion du Bien Etre Social,NGOs and CSOs
Sonbola Group for Education and Development,NGOs and CSOs
Dhaka Ahsania Mission,NGOs and CSOs
Association Mamans Uzima Kalemie,NGOs and CSOs
Centre d'Etudes et d'Actions Sociales,NGOs and CSOs
CARE Yemen,NGOs and CSOs
Center for Civic Engagement and Community Service - American University of Beirut,NGOs and CSOs
Parroquia Jesus Redentor,NGOs and CSOs
DDPS,Public Sector
CORE Group Inc.,NGOs and CSOs
Danish Production School,NGOs and CSOs
"SolidaritÈ, Urgence, Developpement",NGOs and CSOs
SÈcuritÈ civile,NGOs and CSOs
Partnership Africa Canada,NGOs and CSOs
Expertise France,Public Sector
Ocean Training and Promotion,NGOs and CSOs
Nos Petits FrËres et S≈ìurs - Haiti,NGOs and CSOs
Kˆlnische Franziskanerprovinz Von Den Heiligen Drei Kˆnigen,NGOs and CSOs
Al Mithaq,NGOs and CSOs
Pax Christi e.V,NGOs and CSOs
Consortium of Dutch NGOs,NGOs and CSOs
BMVg,Public Sector
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Other multi
Shafak Organization,NGOs and CSOs
Bahar Organization,NGOs and CSOs
Muslim Hands International,NGOs and CSOs
Pastoral Social,Other
Ethiopian Evangelical Church Mekane Yesus Development and Social Services Commission,NGOs and CSOs
Save Lives Initiative South Sudan,NGOs and CSOs
Hope Restoration South Sudan,NGOs and CSOs
South Sudan Law Society,NGOs and CSOs
Danish Association for International Co-operation,NGOs and CSOs
Stop Poverty Communal Initiative,NGOs and CSOs
Kueng Community Development Agency,NGOs and CSOs
Aid Support Community Organization,NGOs and CSOs
"Yem. Gen. Union of Sociologists, S. Workers and Psychologists",NGOs and CSOs
Youth Organization for Social Action,NGOs and CSOs
Mayar Foundation for Development,NGOs and CSOs
Alawn Foundation for Development,NGOs and CSOs
Community Partners International,NGOs and CSOs
World Vision Somalia,NGOs and CSOs
Christian Agenda for Development,NGOs and CSOs
Change Agent Organization,NGOs and CSOs
"Organization for Peace, Relief and Development",NGOs and CSOs
Human Call Association,NGOs and CSOs
Generations without Qat,NGOs and CSOs
Democracy School,NGOs and CSOs
Africare/Catholic Relief Services,NGOs and CSOs
INTERMON,NGOs and CSOs
Millenium Development Foundation,NGOs and CSOs
Vision to Change the World,NGOs and CSOs
Civic Democratic Initiatives Support Foundation,NGOs and CSOs
Al-Atta for Relief and Development,NGOs and CSOs
MOVIMONDO,NGOs and CSOs
Comprehensive Community Based Rehabilitation in Somaliland,NGOs and CSOs
Humanitarian Integrity for Women Action on Advocacy for Peace and Human Right,NGOs and CSOs
Socio-Economic Development and Human Rights Organization,NGOs and CSOs
International Aid Services Denmark,NGOs and CSOs
Palestinian Center for Democracy and Conflict Resolution,NGOs and CSOs
ONG Tabitha,NGOs and CSOs
DMR,Other
Scanagri,Other
Mercy Ships,NGOs and CSOs
National Center for Community Rehabilitation,NGOs and CSOs
University of Colorado,NGOs and CSOs
Honduras ComitÈ Permanente de Contingencias,NGOs and CSOs
AICF-F,Other
World Vision Jerusalem West Bank Gaza,NGOs and CSOs
Central Blood Bank Society,NGOs and CSOs
Yanabia Al-khir Foundation,NGOs and CSOs
Al-Twasul For Human Development,NGOs and CSOs
Somali Red Crescent Society,RCRC
Estijabah Network for Humanitarian Aid and Relief,NGOs and CSOs
Al-Hikma Al-Yamania Association for Charity,NGOs and CSOs
Rebuild Syria Reconstruction Program,NGOs and CSOs
Agri-Systems,Other
"Plateforme d""insertion par l""humanitaire",Other
Community Aid Abroad,NGOs and CSOs
Arizona State University,NGOs and CSOs
Jordanian Hashemite Fund for Human Development,NGOs and CSOs
International Committee for the Development of Peoples,NGOs and CSOs
International Patients' Helping Society,NGOs and CSOs
Congressional Hunger Center,NGOs and CSOs
Valid International,NGOs and CSOs
Civil Society Human Rights Organization South Sudan,NGOs and CSOs
Grassroot Empowerment and Development Organization,NGOs and CSOs
London School of Hygiene and Tropical Medicine,NGOs and CSOs
Centre for Affordable Water and Sanitation Technology,NGOs and CSOs
Columbia University,NGOs and CSOs
Alliance Nationale Contre la Faim et la Malnutrition,Other
Jireh Doo Foundation,NGOs and CSOs
Potsdam Kommunikation,NGOs and CSOs
Medical Research Council,NGOs and CSOs
Swedish Committee for Afghanistan,NGOs and CSOs
IMPACT Initiatives,NGOs and CSOs
Japan Rescue Association,NGOs and CSOs
Ninurta,NGOs and CSOs
Mauritanian Red Crescent,RCRC
Belize Red Cross Society,RCRC
International Medical Volunteers Japan Heart,NGOs and CSOs
"Human Relief Foundation, UK",NGOs and CSOs
Foundation for Refugee Economic Empowerment,NGOs and CSOs
Taybah Foundation Development,NGOs and CSOs
Japanese Red Cross Society,RCRC
European Union trust fund Bekou in CAR,Public Sector
Legal Action Worldwide,NGOs and CSOs
International Association for Maternal and Neonatal Health,NGOs and CSOs
Silk Road Organization,NGOs and CSOs
World Vision Viet Nam,NGOs and CSOs
Tamkeen for Community Development,NGOs and CSOs
Evangelisches Missionswerk in Deutschland,NGOs and CSOs
Misereor,NGOs and CSOs
Fondation de l'Ordre de Malte pour le Liban,NGOs and CSOs
Indian Red Cross Society,RCRC
Green Concern for Development,NGOs and CSOs
Missionszentrale der Franziskaner e.V.,NGOs and CSOs
United Nations Humanitarian Air Service | World Food Programme,UN Multi
Riverine Relief Program,NGOs and CSOs
Arab Gulf Programme for United Nations Development Organizations,UN Multi
Solidarity for Afghan Families,NGOs and CSOs
Blumont International,NGOs and CSOs
Mayday Rescue Foundation,NGOs and CSOs
Matres Mundi,NGOs and CSOs
Civil Society in Development,NGOs and CSOs
MÈdecins du Monde Suisse,NGOs and CSOs
ServiÁo Pastoral dos Migrantes,NGOs and CSOs
FundaciÛn Ayuda en AcciÛn Colombia,NGOs and CSOs
"Educo - FundaciÛn EducaciÛn y CooperaciÛn, ChildFund Alliance member",NGOs and CSOs
Al-Sabeel Foundation for Social Development,NGOs and CSOs
Beyaz Eller Association (White Hands Association),NGOs and CSOs
Takaful for Child Welfare,NGOs and CSOs
Gazze Destek Derneƒüi (Gaza Support Association),NGOs and CSOs
Ghirass For Society Development,NGOs and CSOs
Al-Nahrain Foundation for Relief and Development,NGOs and CSOs
Kuwaiti Society for Relief,RCRC
Islamic Social Welfare Organization,NGOs and CSOs
The Saudi Development and Reconstruction Program for Yemen,Public Sector
Al Hadatha Association,NGOs and CSOs
National Disaster Risk Management Fund,Public Sector
Red Crescent Society of Azerbaijan,RCRC
Kazakh Red Crescent Society,RCRC
InWent,NGOs and CSOs
Burkinabe Red Cross Society,RCRC
Ukraine Humanitarian Fund,UN Multi
Denmark,Public Sector
Afghan Red Crescent,RCRC
Somali Relief and Development Action,NGOs and CSOs
Al-basar International Foundation,NGOs and CSOs
World Vision Mozambique,NGOs and CSOs
SHA/NRE,Other
World Food Programme | Food & Agriculture Organization of the United Nations,UN Multi
Women Rehabilitation Organization,NGOs and CSOs
World Food Programme | United Nations Humanitarian Air Service,UN Multi
United Nations Children's Fund | PremiËre Urgence (until 2010),Other
Disasters Emergency Committee Cyclone Idai,UN Multi
Caritas Brazil,NGOs and CSOs
Abyan Youth Foundation,Other
Islamic Relief Jordan,NGOs and CSOs
Partners in Rural Development,NGOs and CSOs
ORA International Lobito,NGOs and CSOs
Bollore Logistics USA Inc.,Other
GECONKFOR/CIMIC,Other
Family Health International - FHI 360,NGOs and CSOs
KAALO Aid and Development,NGOs and CSOs
Al Mezan Center for Human Rights,NGOs and CSOs
WeWorld Onlus,NGOs and CSOs
Physicians for Human Rights Israel,NGOs and CSOs
Gorongosa Project,NGOs and CSOs
Nomadic Assistance for Peace and Development,Other
Northern Frontier Youth League,NGOs and CSOs
Relief and Development Peer Foundation,NGOs and CSOs
Latvia,Public Sector
Fida International | ZOA,NGOs and CSOs
"Syria Resilience Consortium (CARE, DRC, HI, IRC, NRC & Mercy Corps)",Public Sector
European Centre for Common Ground/Common Ground,NGOs and CSOs
Education Cannot Wait Fund,Other
Swedish Mission Council | PMU-Interlife,NGOs and CSOs
Saint Barbara Foundation,NGOs and CSOs
"Water, Environment & Sanitation Society",NGOs and CSOs
Kuwait Joint Relief Committee,NGOs and CSOs
Charity Mission Corps,NGOs and CSOs
Coalition for Humanity South Sudan,NGOs and CSOs
American Refugee Committee (Alight),NGOs and CSOs
"Association for Water, Applied Education and Renewable Energy",NGOs and CSOs
Global Youth Organization,NGOs and CSOs
Health Action Aid,NGOs and CSOs
Green Belt Initiative,Other
Healthcare Foundation Organization,NGOs and CSOs
Humanity Empowerment and Leadership Promotion Organization,NGOs and CSOs
Rural Health Services,Other
Support the Empowerment of Women and their Rights for Development,NGOs and CSOs
The Rescue Mission,NGOs and CSOs
United Networks for Health,NGOs and CSOs
Women Aid Vision,NGOs and CSOs
Genre Paix et Developement,NGOs and CSOs
Centre for Integrated Development and Research,NGOs and CSOs
GFC,Other
CoopÈrative de Production Agricole et Artisanale pour le DÈveloppement du Monde Rural,NGOs and CSOs
Maison Prisca,NGOs and CSOs
Women Act for Living Together,NGOs and CSOs
African Relief Service (Central African Republic),NGOs and CSOs
All for Peace And Dignity,NGOs and CSOs
Association pour la Promotion de la Culture,NGOs and CSOs
Agglobe Services International and the Korean Unpasan General Trading Company,Other
"Tetra Tech, Inc.",Other
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs and CSOs
Korea Campus Crusade for Christ,NGOs and CSOs
Presbyterian Church of Korea,NGOs and CSOs
Subul Al Salam Social Association,NGOs and CSOs
Dummar Youth Charity,NGOs and CSOs
Hoffnungszeichen - Sign of Hope e.V,NGOs and CSOs
Global Fire Monitoring Centre,UN Multi
Children of One World (Bir D¸nya Ìáocuk),NGOs and CSOs
Lao (People's Democratic Republic),Public Sector
Organization of Islamic Cooperation,Other multi
Donbas SOS,NGOs and CSOs
United Nations Verification and Inspection Mechanism for Yemen,UN Multi
PALLADIUM INTERNATIONAL PTY LTD,Other
Danish Refugee Council | Danish De-mining Group,NGOs and CSOs
Ethiopian Red Cross Society,RCRC
Bremen Overseas Research and Development Association,NGOs and CSOs
European Commission Civil Protection Mechanism,Public Sector
SOS Kinderdorpen,NGOs and CSOs
Kiribati,Public Sector
Hpa-an Orthoqaedic Rehabilitation Centre,RCRC
INGO Forum Myanmar,NGOs and CSOs
Katchin Women's Association Thailand,NGOs and CSOs
Wan Lark  Foundation,NGOs and CSOs
Wunpawng Ninghtoi,NGOs and CSOs
Women for the World,NGOs and CSOs
MA-UK Myanmar Serving Humanity,NGOs and CSOs
Thazin Community Development Initiative,NGOs and CSOs
Pan Ka Lay,NGOs and CSOs
People for People,NGOs and CSOs
European Commission - EU Facility for Refugees in Turkey,Public Sector
SwissLimbs,NGOs and CSOs
Spectrum - Sustainable Development Knowledge Network,NGOs and CSOs
Sabou Guinee,NGOs and CSOs
Community Care for Emergency Response and Rehabilitation,NGOs and CSOs
Center for Social Integrity,NGOs and CSOs
Aid for Central Africa,Other multi
HHB,Other
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",NGOs and CSOs
Komitee Arzte,NGOs and CSOs
Northwest Medical Teams International,NGOs and CSOs
World Vision Bangladesh,NGOs and CSOs
O.K.I General Trading L.L.C.,Other
Humanitarian Advisory Group,NGOs and CSOs
Burundi,Public Sector
Caritas ComitÈ DiocÈsain de DÈveloppement Maroua-Mokolo,NGOs and CSOs
Di·logo Diverso,NGOs and CSOs
GMAC,Other
Syria Al Yamama Charity Association (SYCA),NGOs and CSOs
Al Wasel Association,NGOs and CSOs
Swedish Groups of Africa,NGOs and CSOs
WISAG,Other
Brazil,Public Sector
Al Hussein Society Jordan Center for Training and Inclusion (AHS),NGOs and CSOs
The Ghassan Kanfani Cultural Foundation,NGOs and CSOs
Caritas Venezuela,NGOs and CSOs
FundaciÛn Entreculturas - Fe y AlegrÌ≠a,NGOs and CSOs
Children in Crisis,NGOs and CSOs
Angola,Public Sector
Hand in Hand For Aid and Development,NGOs and CSOs
Nour Foundation for Relief and Development,NGOs and CSOs
Al Sham Humanitarian Foundation,Other
Menschen Gegen Minen,NGOs and CSOs
Iraqi Red Crescent Society,RCRC
Zimbabwe Red Cross,RCRC
International Organization for Community Development and Humanitarian Support,NGOs and CSOs
Afkar Foundation,NGOs and CSOs
Marsa Sexual Health Center,NGOs and CSOs
Mauritius,Public Sector
Sustainable International Medical Relief Organization,NGOs and CSOs
Asian Harm Reduction Network,NGOs and CSOs
United Nations Operational Satellite Applications Programme,UN Multi
Rahma International Society,NGOs and CSOs
Pompiers de l'urgence Internationale,NGOs and CSOs
Pro Familia Switzerland,NGOs and CSOs
Invisible Children,NGOs and CSOs
ROSSAIR,Other
World Vision Afghanistan,NGOs and CSOs
Nonviolence International,NGOs and CSOs
Afghan Women's Educational Center,NGOs and CSOs
Welfare Association for the Development of Afghanistan,NGOs and CSOs
Danish Emergency Relief Fund,Public Sector
ActionAid International Zimbabwe,NGOs and CSOs
Muhammadiyah Disaster Management Center,NGOs and CSOs
Central Board of Nahdlatul Ulama,NGOs and CSOs
Association of Southeast Asian Nations,Other multi
Age International,NGOs and CSOs
Saferworld,NGOs and CSOs
A Call to Serve International,NGOs and CSOs
Alshrooq Organisation for Social and Cultural Development,NGOs and CSOs
Food & Agriculture Organization of the United Nations | World Food Programme,UN Multi
Help a Child International (Red een Kind),NGOs and CSOs
Hellenic Red Cross,RCRC
Namibia Red Cross,RCRC
Mukti Cox's Bazar,NGOs and CSOs
Association for People's Cooperation between South and North Korea,NGOs and CSOs
University of Applied Sciences Northwestern Switzerland (Fachhochschule Nordwestschweiz FHNW),Other
The Association for Specialist Fire Protection (ASFP),Other
Nepal Development Society (NEDS),NGOs and CSOs
Horan Islamic Society,NGOs and CSOs
Al-Khair Foundation (AKF),NGOs and CSOs
"Gambian Red Cross Society, The",RCRC
Benin Red Cross Society,RCRC
Real Relief,Other
Islamic Relief Worldwide | Almassar Charity organization for Nomadís Development and Environmental Conservation,NGOs and CSOs
White Hand Organization for Development,NGOs and CSOs
Ujamaa na Watoto Wenye Haki Initiative,NGOs and CSOs
Commission Nationale des Droits de líHomme de Mauritanie,NGOs and CSOs
Big Heart Foundation,NGOs and CSOs
PSF-France/Clermont-Ferrand,Other
COAST Trust,NGOs and CSOs
WATAN Foundation,NGOs and CSOs
Mine Clearance and Planning Agency | HALO Trust,NGOs and CSOs
HALO Trust | Organisation for Mine Awareness and Reconstruction,NGOs and CSOs
Caritas Centrafricaine - Bouar,NGOs and CSOs
Chilean Red Cross,RCRC
"Charity Foundation ""Lona""",Other
UK-Med,NGOs and CSOs
Femmes Unies contre la Malnutrition - Kundji Fondo,NGOs and CSOs
Learning Through Skills Acquisition Initiative,NGOs and CSOs
Food Agriculture and Disaster Management,NGOs and CSOs
Caritas Australia,NGOs and CSOs
Humanitarian Aid for Development,NGOs and CSOs
Zireenza Support Foundation,NGOs and CSOs
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs and CSOs
Agency for Technical Cooperation and Development | Concern Worldwide | Deutsche Welthungerhilfe e.V. (German Agro Action),Other
Syrian Association for Relief and Development,NGOs and CSOs
South Sudan Grassroot Initiative for Development,NGOs and CSOs
Sudan Evangelical Mission,NGOs and CSOs
Netherlands Development Organisation,NGOs and CSOs
