Recipient.Organization,recipientcodename
Agility,private sector corporations
Pentecostal Foreign Mission,NGOs
Jemael-international,private sector corporations
Mobile Theatre Team,NGOs
Grassroots Relief and Development Agency,NGOs
Verein Hilfe fur Bangladesch,NGOs
Healthlink South Sudan,NGOs
Plan International | Plan Sweden,NGOs
Rural Organization for Advocacy and Development International,NGOs
Cavalier Logistics,private sector corporations
Agriterra,private sector corporations
AFAK Future for Capacity Building,NGOs
JORDAN RIVER FOUNDATION,NGOs
Jordan Women Union-Un Ponte Per,NGOs
Union of Relief and Development Association,NGOs
ASSOCIATION DES JEUNES ISLAMIQUES,NGOs
Association Nabad for Development,NGOs
Action for Population and Sustainable Development,NGOs
Caritas Bangladesh,NGOs
Enfants sans FrontiËres,NGOs
Community Action Organization,NGOs
LiveWell South Sudan,NGOs
Community Health and Development Organization,NGOs
National Relief and Development Corps,NGOs
Community Initiative for Development Organization,NGOs
Humanitarian Aid for Change and Transformation,NGOs
The Rescue Initiative South Sudan,NGOs
American Rescue Committee,NGOs
Bent Al-Rafedain Organization,NGOs
Bothoor Alkhaer Human Organization,NGOs
Emergency Medical Care for Affected People,NGOs
Canadian Aid Organization for International Society Rehab,NGOs
The Critical Needs Support Foundation,NGOs
Dary Human Organization for Relief and Medical Care,NGOs
World Concern,NGOs
Health & Social Care Organization in Iraq,NGOs
Human for Human Organization,NGOs
Orchard Association for Children Protection and Education,NGOs
Rebuild Iraq Recruitment Program | Qatar Red Crescent Society,red cross
Empowering Vulnerable Society Organization,NGOs
Sahara Economic Development Organization,NGOs
Stichting Cordaid,NGOs
Sabe' Sanabal Organization for Relief and Development,NGOs
General Service Agency,NGOs
Women Pioneers for Peace and Life,NGOs
WRO,NGOs
Terre des Hommes - Italy | World Vision International,NGOs
Taakulo Somaliland Community,NGOs
Health Education Agro-pastoral Liaison,NGOs
Bena Charity For Human Development,NGOs
Al-Aman Organization for Blind Women Care,NGOs
Field Medical Foundation,NGOs
Sustainable Development Foundation,academia/think/research
Youth Leadership Development Foundation,NGOs
Rural Women's Development Society,NGOs
Responsiveness for Relief and Development,NGOs
Windle Trust International,NGOs
Tamdeen Youth Foundation,NGOs
Integrated Youth and Relief Development Association,NGOs
Active Youth Agency,NGOs
Pathfinder International,NGOs
"Candlelight for Health, Education and Environment",NGOs
Leb Relief,NGOs
Livelihood Relief and Development Organization,NGOs
Mothers and Children Multisectoral Development Organization (MCMDO),NGOs
The Disabled and their Friends Charity Association (DTF),NGOs
Philippine Disaster Resilience Foundation,foundations
Communicating with Disaster Affected Communities,NGOs
George Washington University,academia/think/research
Grand Challenges Canada,foundations
Center for Strategic and International Studies,academia/think/research
NRS Relief,private sector corporations
Priority Worldwide Services,private sector corporations
La FederaciÛn Nacional de Comerciantes,private sector corporations
Miyamoto International,private sector corporations
Ledmark Industries LLC,private sector corporations
JAS Forwarding Worldwide Inc.,private sector corporations
Lynden Air Cargo,private sector corporations
Butyl Products Ltd Group,private sector corporations
SGS,private sector corporations
Centre for Community Health and Development International,NGOs
Street Child Organization,NGOs
Kanem Borno Human Development Association,NGOs
Restoration of Hope Initiative,NGOs
Women in the New Nigeria and Youth Empowerment Initiative,NGOs
Consejo Superior Universitario Centroamericano,academia/think/research
"International Business & Technical Consultants, Inc.",private sector corporations
Johns Hopkins University,academia/think/research
Landstar Express America,private sector corporations
"John S Connor, Inc",private sector corporations
AsociaciÛn de Trabajadores y TÈcnicos Sin Fronteras,NGOs
OXFAM GB | OXFAM,NGOs
Alianza por la Solidaridad,NGOs
International Training Inc.,private sector corporations
Winrock International,NGOs
Purdue University,academia/think/research
Bill and Melinda Gates Foundation,foundations
Associazione di Cooperazione allo Sviluppo,NGOs
Center for Civilians in Conflict,NGOs
The Legal Agenda,academia/think/research
Alliance For Action Aid,NGOs
Grupo Sofonias (Switzerland),private sector corporations
Hope and Rural Aid Foundation,NGOs
Ronahee Foundation,NGOs
Shabelle Relief and Development Organization - SRDO,NGOs
World Vision Uganda,NGOs
Miak Wadang,NGOs
ACT Alliance / Christian Care,NGOs
Nurture Africa,NGOs
Fondazione ‚ÄúOpera San Francesco Saverio‚Äù CUAMM,NGOs
AYUUB Organization,NGOs
The Cash Learning Partnership,academia/think/research
National Prisoner Foundation,NGOs
For All Foundation,NGOs
Medical Mercy Foundation,NGOs
Association for Community Development,NGOs
CARITAS BUKAVU,NGOs
Ceilu,Undefined
Caritas DÈveloppement DRC,NGOs
Haitian National Red Cross Society,red cross
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Other pooled
Touch Africa Development Organization,NGOs
Assistance Mission Africa,NGOs
Himilo Organization for Development,NGOs
Centre for Common Ground in Angola (CCG),NGOs
AIR CHARTER SERVICE,private sector corporations
Intertek Group plc,private sector corporations
Stanis≈Çawa Bie≈Ñczak Child Support Foundation (Fundacja Pomocy Dzieciom im. Stanis≈Çawy Bie≈Ñczak),NGOs
AlBasar Foundation,NGOs
Nahrain International Company,private sector corporations
Scoop Group,private sector corporations
FOSENET - NGO Food Security Network - Zimbabwe,NGOs
Mongolia,National government
Mvuramanzi Trust,NGOs
Terre des Hommes International | Terre des Hommes - Italy,NGOs
Limmatstiftung Zurich,foundations
Solid House Foundation,NGOs
Polish Medical Mission,NGOs
Enfants de Cusco,NGOs
Kob¸,other
GIGnos (consulting company),private sector corporations
MANNET (consulting company),private sector corporations
Messagers de la Paix en Afrique,NGOs
SolidaritÈ Socialiste,NGOs
Medicair - South Sudan,NGOs
Association for Solidarity with Asylum Seekers and Migrants,NGOs
ACT Alliance / Diakonie,NGOs
Mercy Without Limits,NGOs
Nile Sustainable Development Organization,NGOs
Catholic Medical Missons Board,NGOs
Andre Foods South Sudan,NGOs
Organization for Peoples' Empowerment and Needs,NGOs
Community Organization for Emergency and Rehabilitation,NGOs
Titi Foundation,NGOs
Takaful Alsham Charity Organization,NGOs
MEMISA - Action mÈdicale missionnaire,NGOs
"Zaporizhzhia Region Charity Fund ""Child Smile""",NGOs
BINAA Organization for Development,NGOs
International Trade Center,Other multi
Gaza Zakat Committee,National government
Humanitarian and Development Consortium,NGOs
ROIA Information and Communication Technology,NGOs
Johanniter International Assistance,NGOs
Fonds voor OntwikkelingsSamenwerking,NGOs
Amis des Personnes en DÈtresse,NGOs
Vijana ya Panda Tujenge,Undefined
Entrepreneurs Organization for Relief and Development,NGOs
Custodian of Two Holy Mosques Relief Campaign,NGOs
Janat Al-Frdaws Foundation for Relief and Development,NGOs
Humane Aid for Community Organization,NGOs
ONG Espoir,NGOs
Women of Africa,NGOs
CARITAS BUTEMBO,NGOs
CARITAS DEV GOMA,NGOs
CARITAS UVIRA,NGOs
SantÈ Rurale,NGOs
Human Appeal UK,NGOs
Public Aid Organization,NGOs
INSAN Iraqi Society for Relief and Development,NGOs
Pestalozzi Children's Foundation,NGOs
EPER - Swiss Church Aid,NGOs
Dynasafe International Group,private sector corporations
Dominican Republic,National government
International Humanitarian City,other
Action Against Disasters Somalia,NGOs
New Ways Organization,NGOs
Fondation Internationale Carrefour,foundations
Uganda Women's Effort to Save Orphans,NGOs
ACT Alliance / Christian World Service,NGOs
Inter Aide,NGOs
Malawi Economic Justice Network,other
Public Affairs Committee,private individual/organisation
Mwelekeo Trust,NGOs
"NABA""A",other
Rural Education and Agriculture Development Organization,NGOs
Datong,private sector corporations
Ecuadorian Red Cross,red cross
Somali Humanitarian and Development Action,NGOs
Hudec Sedec,private individual/organisation
HÙpital FranÁais de HanoÔ,private individual/organisation
Inter Religious Council,NGOs
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs
ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,NGOs
Survey Action Center,other
International Blue Crescent Relief and Development Foundation,NGOs
Somalia,National government
Aide MÈdicale  Internationale (until 2010),NGOs
CARE Ethiopia,NGOs
Watan Khayr Charity Foundation,NGOs
Gr¸nhelme,NGOs
Caritas Sweden,NGOs
Bonyan (Bina Insan),NGOs
FXB -  FranÁois-Xavier Bagnoud,NGOs
International Assistance Mission,NGOs
Belgian First Aid and Support Team,DAC governments
African Humanitarian Corps,NGOs
UNICEF National Committee/United Kingdom,UN Multi
Hungarian Red Cross,red cross
Action ChrÈtienne Tous pour la SolidaritÈ,NGOs
Red Crescent Society of the Islamic Republic of Iran,red cross
Education Above All Foundation,foundations
Polish Red Cross,red cross
"Congo, Republic of",National government
Ata'a for Relief and Development,NGOs
Pompiers sans frontiËres,NGOs
Triangle,NGOs
Atfaluna Society for Deaf Children,NGOs
ACT Alliance / Kerk in Actie - Netherlands,NGOs
Ghiras Alnahda Organization,NGOs
ASIA Onlus,NGOs
ISRAELI INFO.CNTR.HUMAN RIGHTS (B-TSELEM),academia/think/research
Mobile Humanitarian Agency,NGOs
Maram Foundation for Relief and Development,NGOs
Syrian Expatriates Medical Association,NGOs
Cook Islands Red Cross Society,red cross
Reach Out,NGOs
Hydraulique Sans FrontiËres,NGOs
Agence de DÈveloppement Economique et Social,NGOs
Action pour la Promotion du Bien Etre Social,NGOs
Sonbola Group for Education and Development,NGOs
Dhaka Ahsania Mission,NGOs
Association Mamans Uzima Kalemie,NGOs
Centre d'Etudes et d'Actions Sociales,NGOs
CARE Yemen,NGOs
Center for Civic Engagement and Community Service - American University of Beirut,academia/think/research
Parroquia Jesus Redentor,private individual/organisation
DDPS,DAC governments
CORE Group Inc.,academia/think/research
Danish Production School,academia/think/research
"SolidaritÈ, Urgence, Developpement",NGOs
SÈcuritÈ civile,NGOs
Partnership Africa Canada,NGOs
Expertise France,DAC governments
Ocean Training and Promotion,NGOs
Nos Petits FrËres et S≈ìurs - Haiti,NGOs
Kˆlnische Franziskanerprovinz Von Den Heiligen Drei Kˆnigen,private individual/organisation
Al Mithaq,NGOs
Pax Christi e.V,NGOs
Consortium of Dutch NGOs,NGOs
BMVg,DAC governments
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Other multi
Shafak Organization,NGOs
Bahar Organization,NGOs
Muslim Hands International,NGOs
Pastoral Social,private sector corporations
Ethiopian Evangelical Church Mekane Yesus Development and Social Services Commission,NGOs
Save Lives Initiative South Sudan,NGOs
Hope Restoration South Sudan,NGOs
South Sudan Law Society,private individual/organisation
Danish Association for International Co-operation,NGOs
Stop Poverty Communal Initiative,NGOs
Kueng Community Development Agency,NGOs
Aid Support Community Organization,NGOs
"Yem. Gen. Union of Sociologists, S. Workers and Psychologists",NGOs
Youth Organization for Social Action,NGOs
Mayar Foundation for Development,NGOs
Alawn Foundation for Development,foundations
Community Partners International,NGOs
World Vision Somalia,NGOs
Christian Agenda for Development,NGOs
Change Agent Organization,NGOs
"Organization for Peace, Relief and Development",NGOs
Human Call Association,NGOs
Generations without Qat,NGOs
Democracy School,Undefined
Africare/Catholic Relief Services,NGOs
INTERMON,NGOs
Millenium Development Foundation,NGOs
Vision to Change the World,NGOs
Civic Democratic Initiatives Support Foundation,NGOs
Al-Atta for Relief and Development,NGOs
MOVIMONDO,NGOs
Comprehensive Community Based Rehabilitation in Somaliland,NGOs
Humanitarian Integrity for Women Action on Advocacy for Peace and Human Right,NGOs
Socio-Economic Development and Human Rights Organization,NGOs
International Aid Services Denmark,NGOs
Palestinian Center for Democracy and Conflict Resolution,NGOs
ONG Tabitha,NGOs
DMR,private sector corporations
Scanagri,private sector corporations
Mercy Ships,NGOs
National Center for Community Rehabilitation,NGOs
University of Colorado,academia/think/research
Honduras ComitÈ Permanente de Contingencias,National government
AICF-F,other
World Vision Jerusalem West Bank Gaza,NGOs
Central Blood Bank Society,NGOs
Yanabia Al-khir Foundation,NGOs
Al-Twasul For Human Development,NGOs
Somali Red Crescent Society,red cross
Estijabah Network for Humanitarian Aid and Relief,NGOs
Al-Hikma Al-Yamania Association for Charity,NGOs
Rebuild Syria Reconstruction Program,NGOs
Agri-Systems,private sector corporations
"Plateforme d""insertion par l""humanitaire",other
Community Aid Abroad,NGOs
Arizona State University,academia/think/research
Jordanian Hashemite Fund for Human Development,NGOs
International Committee for the Development of Peoples,NGOs
International Patients' Helping Society,NGOs
Congressional Hunger Center,academia/think/research
Valid International,academia/think/research
Civil Society Human Rights Organization South Sudan,NGOs
Grassroot Empowerment and Development Organization,NGOs
London School of Hygiene and Tropical Medicine,academia/think/research
Centre for Affordable Water and Sanitation Technology,NGOs
Columbia University,academia/think/research
Alliance Nationale Contre la Faim et la Malnutrition,Undefined
Jireh Doo Foundation,NGOs
Potsdam Kommunikation,NGOs
Medical Research Council,academia/think/research
Swedish Committee for Afghanistan,NGOs
IMPACT Initiatives,NGOs
Japan Rescue Association,NGOs
Ninurta,NGOs
Mauritanian Red Crescent,red cross
Belize Red Cross Society,red cross
International Medical Volunteers Japan Heart,NGOs
"Human Relief Foundation, UK",NGOs
Foundation for Refugee Economic Empowerment,NGOs
Taybah Foundation Development,NGOs
Japanese Red Cross Society,red cross
European Union trust fund Bekou in CAR,EC
Legal Action Worldwide,NGOs
International Association for Maternal and Neonatal Health,NGOs
Silk Road Organization,NGOs
World Vision Viet Nam,NGOs
Tamkeen for Community Development,NGOs
Evangelisches Missionswerk in Deutschland,NGOs
Misereor,private individual/organisation
Fondation de l'Ordre de Malte pour le Liban,Undefined
Indian Red Cross Society,red cross
Green Concern for Development,NGOs
Missionszentrale der Franziskaner e.V.,private individual/organisation
United Nations Humanitarian Air Service | World Food Programme,UN Multi
Riverine Relief Program,private individual/organisation
Arab Gulf Programme for United Nations Development Organizations,UN Multi
Solidarity for Afghan Families,NGOs
Blumont International,NGOs
Mayday Rescue Foundation,NGOs
Matres Mundi,NGOs
Civil Society in Development,NGOs
MÈdecins du Monde Suisse,NGOs
ServiÁo Pastoral dos Migrantes,NGOs
FundaciÛn Ayuda en AcciÛn Colombia,NGOs
"Educo - FundaciÛn EducaciÛn y CooperaciÛn, ChildFund Alliance member",NGOs
Al-Sabeel Foundation for Social Development,foundations
Beyaz Eller Association (White Hands Association),NGOs
Takaful for Child Welfare,NGOs
Gazze Destek Derneƒüi (Gaza Support Association),NGOs
Ghirass For Society Development,NGOs
Al-Nahrain Foundation for Relief and Development,NGOs
Kuwaiti Society for Relief,Red Cross
Islamic Social Welfare Organization,NGOs
The Saudi Development and Reconstruction Program for Yemen,National government
Al Hadatha Association,NGOs
National Disaster Risk Management Fund,National government
Red Crescent Society of Azerbaijan,red cross
Kazakh Red Crescent Society,red cross
InWent,NGOs
Burkinabe Red Cross Society,red cross
Ukraine Humanitarian Fund,CBPF
Denmark,DAC governments
Afghan Red Crescent,red cross
Somali Relief and Development Action,NGOs
Al-basar International Foundation,NGOs
World Vision Mozambique,NGOs
SHA/NRE,other
World Food Programme | Food & Agriculture Organization of the United Nations,UN Multi
Women Rehabilitation Organization,NGOs
World Food Programme | United Nations Humanitarian Air Service,UN Multi
United Nations Children's Fund | PremiËre Urgence (until 2010),other
Disasters Emergency Committee Cyclone Idai,CERF
Caritas Brazil,NGOs
Abyan Youth Foundation,foundations
Islamic Relief Jordan,NGOs
Partners in Rural Development,NGOs
ORA International Lobito,NGOs
Bollore Logistics USA Inc.,private sector corporations
GECONKFOR/CIMIC,other
Family Health International - FHI 360,NGOs
KAALO Aid and Development,NGOs
Al Mezan Center for Human Rights,NGOs
WeWorld Onlus,NGOs
Physicians for Human Rights Israel,NGOs
Gorongosa Project,NGOs
Nomadic Assistance for Peace and Development,other
Northern Frontier Youth League,NGOs
Relief and Development Peer Foundation,NGOs
Latvia,National government
Fida International | ZOA,NGOs
"Syria Resilience Consortium (CARE, DRC, HI, IRC, NRC & Mercy Corps)",EC
European Centre for Common Ground/Common Ground,NGOs
Education Cannot Wait Fund,foundations
Swedish Mission Council | PMU-Interlife,NGOs
Saint Barbara Foundation,foundations
"Water, Environment & Sanitation Society",NGOs
Kuwait Joint Relief Committee,private individual/organisation
Charity Mission Corps,NGOs
Coalition for Humanity South Sudan,NGOs
American Refugee Committee (Alight),NGOs
"Association for Water, Applied Education and Renewable Energy",NGOs
Global Youth Organization,NGOs
Health Action Aid,NGOs
Green Belt Initiative,foundations
Healthcare Foundation Organization,NGOs
Humanity Empowerment and Leadership Promotion Organization,NGOs
Rural Health Services,academia/think/research
Support the Empowerment of Women and their Rights for Development,NGOs
The Rescue Mission,NGOs
United Networks for Health,NGOs
Women Aid Vision,NGOs
Genre Paix et Developement,NGOs
Centre for Integrated Development and Research,NGOs
GFC,other
CoopÈrative de Production Agricole et Artisanale pour le DÈveloppement du Monde Rural,NGOs
Maison Prisca,NGOs
Women Act for Living Together,NGOs
African Relief Service (Central African Republic),NGOs
All for Peace And Dignity,NGOs
Association pour la Promotion de la Culture,NGOs
Agglobe Services International and the Korean Unpasan General Trading Company,other
"Tetra Tech, Inc.",private sector corporations
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs
Korea Campus Crusade for Christ,NGOs
Presbyterian Church of Korea,private individual/organisation
Subul Al Salam Social Association,NGOs
Dummar Youth Charity,NGOs
Hoffnungszeichen - Sign of Hope e.V,NGOs
Global Fire Monitoring Centre,UN Multi
Children of One World (Bir D¸nya Ìáocuk),NGOs
Lao (People's Democratic Republic),National government
Organization of Islamic Cooperation,Other multi
Donbas SOS,NGOs
United Nations Verification and Inspection Mechanism for Yemen,UN Multi
PALLADIUM INTERNATIONAL PTY LTD,private sector corporations
Danish Refugee Council | Danish De-mining Group,NGOs
Ethiopian Red Cross Society,red cross
Bremen Overseas Research and Development Association,NGOs
European Commission Civil Protection Mechanism,EC
SOS Kinderdorpen,NGOs
Kiribati,National government
Hpa-an Orthoqaedic Rehabilitation Centre,red cross
INGO Forum Myanmar,NGOs
Katchin Women's Association Thailand,NGOs
Wan Lark  Foundation,NGOs
Wunpawng Ninghtoi,NGOs
Women for the World,NGOs
MA-UK Myanmar Serving Humanity,NGOs
Thazin Community Development Initiative,NGOs
Pan Ka Lay,NGOs
People for People,NGOs
European Commission - EU Facility for Refugees in Turkey,EC
SwissLimbs,NGOs
Spectrum - Sustainable Development Knowledge Network,NGOs
Sabou Guinee,NGOs
Community Care for Emergency Response and Rehabilitation,NGOs
Center for Social Integrity,NGOs
Aid for Central Africa,Other multi
HHB,other
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",NGOs
Komitee Arzte,NGOs
Northwest Medical Teams International,NGOs
World Vision Bangladesh,NGOs
O.K.I General Trading L.L.C.,private sector corporations
Humanitarian Advisory Group,NGOs
Burundi,National government
Caritas ComitÈ DiocÈsain de DÈveloppement Maroua-Mokolo,NGOs
Di·logo Diverso,NGOs
GMAC,other
Syria Al Yamama Charity Association (SYCA),NGOs
Al Wasel Association,NGOs
Swedish Groups of Africa,NGOs
WISAG,private sector corporations
Brazil,National government
Al Hussein Society Jordan Center for Training and Inclusion (AHS),NGOs
The Ghassan Kanfani Cultural Foundation,NGOs
Caritas Venezuela,NGOs
FundaciÛn Entreculturas - Fe y AlegrÌ≠a,NGOs
Children in Crisis,NGOs
Angola,National government
Hand in Hand For Aid and Development,NGOs
Nour Foundation for Relief and Development,NGOs
Al Sham Humanitarian Foundation,foundations
Menschen Gegen Minen,NGOs
Iraqi Red Crescent Society,red cross
Zimbabwe Red Cross,red cross
International Organization for Community Development and Humanitarian Support,NGOs
Afkar Foundation,NGOs
Marsa Sexual Health Center,NGOs
Mauritius,National government
Sustainable International Medical Relief Organization,NGOs
Asian Harm Reduction Network,NGOs
United Nations Operational Satellite Applications Programme,UN Multi
Rahma International Society,NGOs
Pompiers de l'urgence Internationale,NGOs
Pro Familia Switzerland,NGOs
Invisible Children,NGOs
ROSSAIR,private sector corporations
World Vision Afghanistan,NGOs
Nonviolence International,NGOs
Afghan Women's Educational Center,NGOs
Welfare Association for the Development of Afghanistan,NGOs
Danish Emergency Relief Fund,DAC governments
ActionAid International Zimbabwe,NGOs
Muhammadiyah Disaster Management Center,NGOs
Central Board of Nahdlatul Ulama,NGOs
Association of Southeast Asian Nations,Other multi
Age International,NGOs
Saferworld,NGOs
A Call to Serve International,NGOs
Alshrooq Organisation for Social and Cultural Development,NGOs
Food & Agriculture Organization of the United Nations | World Food Programme,UN Multi
Help a Child International (Red een Kind),NGOs
Hellenic Red Cross,red cross
Namibia Red Cross,red cross
Mukti Cox's Bazar,NGOs
Association for People's Cooperation between South and North Korea,private individual/organisation
University of Applied Sciences Northwestern Switzerland (Fachhochschule Nordwestschweiz FHNW),academia/think/research
The Association for Specialist Fire Protection (ASFP),private sector corporations
Nepal Development Society (NEDS),NGOs
Horan Islamic Society,NGOs
Al-Khair Foundation (AKF),NGOs
"Gambian Red Cross Society, The",red cross
Benin Red Cross Society,red cross
Real Relief,private sector corporations
Islamic Relief Worldwide | Almassar Charity organization for Nomadís Development and Environmental Conservation,NGOs
White Hand Organization for Development,NGOs
Ujamaa na Watoto Wenye Haki Initiative,NGOs
Commission Nationale des Droits de líHomme de Mauritanie,NGOs
Big Heart Foundation,NGOs
PSF-France/Clermont-Ferrand,other
COAST Trust,NGOs
WATAN Foundation,NGOs
Mine Clearance and Planning Agency | HALO Trust,NGOs
HALO Trust | Organisation for Mine Awareness and Reconstruction,NGOs
Caritas Centrafricaine - Bouar,NGOs
Chilean Red Cross,red cross
"Charity Foundation ""Lona""",foundations
UK-Med,NGOs
Femmes Unies contre la Malnutrition - Kundji Fondo,NGOs
Learning Through Skills Acquisition Initiative,NGOs
Food Agriculture and Disaster Management,NGOs
Caritas Australia,NGOs
Humanitarian Aid for Development,NGOs
Zireenza Support Foundation,NGOs
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs
Agency for Technical Cooperation and Development | Concern Worldwide | Deutsche Welthungerhilfe e.V. (German Agro Action),other
Syrian Association for Relief and Development,NGOs
South Sudan Grassroot Initiative for Development,NGOs
Sudan Evangelical Mission,NGOs
Netherlands Development Organisation,NGOs
Global Aid Network,NGOs
Sedec-Hudec,other
Children Cancer Centre of Lebanon,NGOs
UN Economic Commission for Latin America,UN Multi
Islamic Development Bank,Other multi
Pharmaciens Sans Frontieres - Comite International,NGOs
Africa Development Initiative,NGOs
Afrique Secours Assistance,NGOs
EspÈrance,NGOs
Agir en Centrafrique,NGOs
Kode ti kwa,NGOs
Lions Clubs International Foundation,foundations
Regional Development and Protection Programme in the Middle East,Other multi
Djibouti Red Crescent Society,Red Cross
Seeds of Hope (Bozzor Alamal),NGOs
World Vision Zambia,NGOs
Zakat Fund,NGOs
GOALPrime Organization Nigeria,NGOs
ASSODLO - Assoc. HaÔtienne pour la MaÓtrise des Sols et des Eaux,other
CPH - ComitÈ Protos HaÔti,NGOs
FTHS,other
Plan Haiti,NGOs
Great Commission Operation Mercy,NGOs
Red Cross Society of the Democratic People's Republic of Korea,red cross
University of Maryland Eastern Shore,academia/think/research
King Hussein Cancer Foundation,NGOs
Charitable Heart Foundation,NGOs
AlSham Assocation,NGOs
Lebanese Association for Rehabilitation and Development,NGOs
Arab Organization for Human Rights,NGOs
SPARK,NGOs
Multi-Partner Trust Fund,UN Multi
Zambia Red Cross Society,red cross
Multinational Interim Force,UN Multi
International Academy for Leadership and Development (IALD),NGOs
Benadir Charity Council,NGOs
Communita Impegno Servizio Volontariato,NGOs
"Yemen General Union of Sociologists, Social Workers and Psychologists",NGOs
Yemen Alkhair For Relief and Development Foundation,NGOs
Health and Education Association for Development,NGOs
Fathurahman Charitable Association,NGOs
Al Diaa Humanitarian Association,NGOs
Faisal Educational Society,NGOs
Guidance Educational And Welfare Society,NGOs
Jamia Darussalam,academia/think/research
Jamia Islamia Ishaatul Uloom,NGOs
Khanpur Azad Gram Unnayan Samity,NGOs
Madeenathul-uloom Educational And Charitable Trust,NGOs
Markazu Ihyail Fikril Islami Institute,NGOs
Moulana Ali Miyan Nadwi Educational and Charitable Trust,NGOs
Al-Jamia Saadatul Uloom Trust,academia/think/research
The Foundation for Advancing Development Integration,NGOs
AS-SALAM EDUCATIONAL CENTRE,NGOs
Assanabil Foundation,NGOs
Kandil Development and Aid Association (Kandil Kalkƒ±nma ve Yardƒ±mla≈üma Derneƒüi),NGOs
Sebil Insani Yardim Dernegi,foundations
Mindanao Modern Education and Development Foundation,NGOs
ONG Arpieca,NGOs
Association Marhama,NGOs
Islamic Committee of the International Crescent,Other multi
Self Help Africa,NGOs
Durrell Wildlife Conservation Trust,NGOs
Foundation for European Development Assistance,foundations
Senegalese Red Cross Society,red cross
Arab Red Crescent and Red Cross Organization,red cross
Sweet Mickey Foundation,foundations
Sierra Leone Red Cross Society,red cross
Afghanischer Arzteverein in Deutschland e.V.,NGOs
Hand by Hand Foundation,NGOs
Selah Foundation for Development,foundations
Action des Volontaires Unis pour le DÈveloppement et la SantÈ,NGOs
Action pour la Promotion de líEnvironnement Social,NGOs
Actions pour le DÈveloppement IntÈgral par la Conservation Communautaire,NGOs
Association des Jeunes Islamiques pour le DÈveloppement,NGOs
Synergie pour la lutte antimines,NGOs
SolidaritÈ FÈminine pour la Paix et le DÈveloppement IntÈgral,NGOs
CARITAS DEVELOPPEMENT MAHAGI-NIOKA,NGOs
Caritas Kasongo,NGOs
College Suisse/Fondation S.O.S,other
ProVention,private individual/organisation
Angola Red Cross,red cross
El Obeid,National government
Association rwandaise des conseillers en traumatisme,NGOs
Initiative DÈveloppement,private individual/organisation
United Nations Joint Logistics Centre,UN Multi
HÙpital de la CharitÈ d'Oulan-Bator,NGOs
MEN,other
Food for the Poor,NGOs
Humanit‰re Hilfe f¸r,NGOs
Danish Ethiopian Mission,DAC governments
Next Step Productions,NGOs
African Mission in Burundi,other
SaferAfrica,NGOs
Switzerland,DAC governments
Federation of Women Lawyers in Kenya,private individual/organisation
CDE - University Berne,academia/think/research
Nicaragua,National government
Africa Educational Trust,NGOs
Lichtbr¸cke e.V,NGOs
NETZ,other
Evangelical Development Programme,private individual/organisation
Palestine Solidarity Organisation in Sweden,NGOs
Tibet House Trust,NGOs
AWWD,NGOs
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,NGOs
Nachbar in Not,other
Swedish Convenant Church,private individual/organisation
"International Centre for Diarrhoeal Disease Research, Bangladesh",academia/think/research
AH Dames Suisse,NGOs
Norwegian Search and Rescue,DAC governments
United Nations Transitional Authority in East Timor,UN Multi
Romania,National government
Japan Overseas Cooperation Volunteers,NGOs
German Doctors for Developing Countries,NGOs
Grenada,National government
World Animal Protection,NGOs
Halo Partnership,NGOs
Physicians for Human Rights,NGOs
International Crisis Group,NGOs
Kenya Land Alliance,NGOs
Nordic International Rescue Foundation,foundations
University of Geneva,academia/think/research
United States Catholic Conference,other
Office of Preparedness for Disasters and Emergencies,DAC governments
"SociÈtÈ Axis, Centre orthopÈdique d'Assomption",NGOs
ACT Alliance / Ethiopian Orthodox Church,NGOs
Emergency Relief International,NGOs
African Union Mission in Sudan,Other multi
NIISO,other
Qandil Swedish Humanitarian Aid Organization,NGOs
Yasska Foundation,foundations
JCS - Joint Christian Services,NGOs
SAF - Science and Arts Foundation,foundations
Hilfsgemeinschaft Lippe e.V,NGOs
Haukari e.V,NGOs
Victims of Torture,NGOs
United Nations International Drug Control Programme,UN Multi
Institute for International Social Affairs,academia/think/research
Management Services for Health,other
RONCO Consulting Corporation,private sector corporations
UN Mine Action Program,UN Multi
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs
Monitoring Evaluation And Training Agency,NGOs
Kinder brauchen uns e.V,NGOs
Afghan Center,other
Matrix,other
Helfende H‰nde e.V.,NGOs
Balkanactive van de gemeenten,NGOs
Freundschaftsbrucke-Kinder der Perestroika e.V,other
Hilfe fur Kinder in Not e.V,NGOs
Commission of Real Property Claims,private sector corporations
Sezam,NGOs
Werkgroep Nederland Srebrenica,NGOs
WEUDAM - WEU De-mining Assistance Mission,private individual/organisation
Lutherischer Weltbund Deutsches Nationalkomitee,NGOs
Arbeiterwohlfahrt Bayern,other
